trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
10A-R01,05:00:00,05:00:10,B03282P,0,,0,
10A-R01,05:00:44,05:00:54,B03283P,1,,0,
10A-R01,05:02:31,05:02:41,B05078P,2,,0,
10A-R01,05:05:34,05:05:44,B06039P,3,,0,
10A-R01,05:06:29,05:06:39,B00136P,4,,0,
10A-R01,05:25:24,05:25:34,B01858P,5,,0,
10A-R01,05:46:29,05:46:39,P00055,6,,0,
10A-R01,05:51:54,05:52:04,P00248,7,,0,
10A-R02,05:00:00,05:00:10,P00248,0,,0,
10A-R02,05:05:25,05:05:35,P00055,1,,0,
10A-R02,05:26:38,05:26:48,B02170P,2,,0,
10A-R02,05:45:26,05:45:36,B00137P,3,,0,
10A-R02,05:46:32,05:46:42,B05530P,4,,0,
10A-R02,05:49:27,05:49:37,B03265P,5,,0,
10A-R02,05:51:09,05:51:19,B03284P,6,,0,
10A-R02,05:51:55,05:52:05,B03282P,7,,0,
10B-R01,05:00:00,05:00:10,B03270P,0,,0,
10B-R01,05:02:11,05:02:21,B05785P,1,,0,
10B-R01,05:03:36,05:03:46,B05536P,2,,0,
10B-R01,05:08:07,05:08:17,B02723P,3,,0,
10D-R01,06:00:00,06:00:10,P00248,0,,0,
10D-R01,06:05:19,06:05:29,P00055,1,,0,
10D-R01,06:07:57,06:08:07,P00287,2,,0,
10D-R01,06:10:22,06:10:32,P00271,3,,0,
10D-R01,06:15:26,06:15:36,P00286,4,,0,
10D-R01,06:23:05,06:23:15,P00285,5,,0,
10D-R01,06:34:01,06:34:11,P00274,6,,0,
10D-R01,06:36:29,06:36:39,P00035,7,,0,
10D-R01,06:41:03,06:41:13,P00036,8,,0,
10D-R01,06:42:36,06:42:46,P00196,9,,0,
10D-R01,06:48:02,06:48:12,P00105,10,,0,
10D-R01,06:50:54,06:51:04,P00166,11,,0,
10D-R01,06:53:29,06:53:39,P00267,12,,0,
10D-R01,07:53:32,07:53:42,P00153,13,,0,
10D-R01,07:58:11,07:58:21,P00204,14,,0,
10D-R01,08:00:57,08:01:07,P00060,15,,0,
10D-R01,08:05:25,08:05:35,P00247,16,,0,
10D-R01,08:20:02,08:20:12,P00101,17,,0,
10D-R02,06:00:00,06:00:10,P00101,0,,0,
10D-R02,06:04:25,06:04:35,P00246,1,,0,
10D-R02,06:09:17,06:09:27,P00060,2,,0,
10D-R02,06:12:22,06:12:32,P00204,3,,0,
10D-R02,06:17:05,06:17:15,P00153,4,,0,
10D-R02,07:13:37,07:13:47,P00267,5,,0,
10D-R02,07:16:16,07:16:26,P00166,6,,0,
10D-R02,07:19:11,07:19:21,P00105,7,,0,
10D-R02,07:24:44,07:24:54,P00196,8,,0,
10D-R02,07:26:20,07:26:30,P00036,9,,0,
10D-R02,07:31:01,07:31:11,P00035,10,,0,
10D-R02,07:33:31,07:33:41,P00274,11,,0,
10D-R02,07:44:36,07:44:46,P00241,12,,0,
10D-R02,07:52:22,07:52:32,P00182,13,,0,
10D-R02,07:57:29,07:57:39,P00272,14,,0,
10D-R02,08:00:04,08:00:14,P00171,15,,0,
10D-R02,08:02:31,08:02:41,P00055,16,,0,
10D-R02,08:07:56,08:08:06,P00248,17,,0,
11B-R01,05:00:00,05:00:10,B03291P,0,,0,
11B-R01,05:19:48,05:19:58,B06655P,1,,0,
11B-R01,05:23:20,05:23:30,B06653P,2,,0,
11B-R01,05:26:25,05:26:35,B06652P,3,,0,
11B-R02,05:00:00,05:00:10,B06652P,0,,0,
11B-R02,05:04:04,05:04:14,B06654P,1,,0,
11B-R02,05:26:54,05:27:04,B03291P,2,,0,
11C-R03,05:00:00,05:00:10,B03287P,0,,0,
11C-R03,05:03:26,05:03:36,B02801P,1,,0,
11C-R03,05:05:07,05:05:17,B00396P,2,,0,
11C-R03,05:05:56,05:06:06,B00555P,3,,0,
11C-R03,05:07:14,05:07:24,B02851P,4,,0,
11C-R03,05:09:47,05:09:57,B04898P,5,,0,
11C-R03,05:11:26,05:11:36,B00082P,6,,0,
11C-R03,05:12:24,05:12:34,B05201P,7,,0,
11C-R03,05:15:55,05:16:05,B06654P,8,,0,
11C-R03,05:27:50,05:28:00,B03290P,9,,0,
11C-R04,05:00:00,05:00:10,B03290P,0,,0,
11C-R04,05:06:07,05:06:17,B05202P,1,,0,
11C-R04,05:08:37,05:08:47,B02844P,2,,0,
11C-R04,05:12:40,05:12:50,B03091P,3,,0,
11C-R04,05:21:18,05:21:28,B06655P,4,,0,
11C-R04,05:24:50,05:25:00,B06653P,5,,0,
11C-R04,05:27:55,05:28:05,B06652P,6,,0,
11C-R04,05:30:06,05:30:16,B05200P,7,,0,
