route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,SH,1-R05,Blok M - Kali Besar Barat,0,,1-R05_shp
1,SH,1-R06,Kali Besar Barat - Blok M,1,,1-R06_shp
10,SH,10-R01,Tanjung Priok - PGC 2,0,,10-R01_shp
10,SH,10-R02,PGC 2 - Tanjung Priok,1,,10-R02_shp
10A,SH,10A-R01,Rusun Marunda - Tanjung Priok,0,,10A-R01_shp
10A,SH,10A-R02,Tanjung Priok - Rusun Marunda,1,,10A-R02_shp
10B,SH,10B-R01,Rusun Cipinang Besar Selatan - Penas Kalimalang,0,,10B-R01_shp
10B,SH,10B-R02,Penas Kalimalang - Rusun Cipinang Besar Selatan,1,,10B-R02_shp
10D,HK,10D-R01,Tanjung Priok - Kampung Rambutan,0,,10D-R01_shp
10D,HK,10D-R02,Kampung Rambutan - Tanjung Priok,1,,10D-R02_shp
10H,SH,10H-R03,Tanjung Priok - Blok M,0,,10H-R03_shp
10H,SH,10H-R04,Blok M - Tanjung Priok,1,,10H-R04_shp
10K,SH,10K-R01,Tanjung Priok - Senen Via Taman BMW,0,,10K-R01_shp
10K,SH,10K-R03,Senen - Tanjung Priok Via Taman BMW,1,,10K-R03_shp
10ST,SH,10ST-R09,Cawang Soetoyo - BNN,0,,l7pj
10ST,SH,10ST-R10,BNN - Cawang Soetoyo,1,,17rf
11,SH,11-R10,Matraman Baru - Pulo Gebang,1,,n1kl
11,SH,11-R11,Pulo Gebang - Matraman Baru,0,,2cki
11B,SH,11B-R01,Rusun Rawa Bebek - Penggilingan,0,,11B-R01_shp
11B,SH,11B-R02,Penggilingan - Rusun Rawa Bebek,1,,11B-R02_shp
11C,SH,11C-R03,Rusun Pinus Elok - Rusun Pulo Gebang,0,,11C-R03_shp
11C,SH,11C-R04,Rusun Pulo Gebang - Rusun Pinus Elok,1,,11C-R04_shp
11D,SH,11D-R02,Pulo Gadung - Pulo Gebang Via PIK,1,,11D-R02_shp
11D,SH,11D-R03,Pulo Gebang - Pulo Gadung via PIK,0,,11D-R03_shp
11K,SH,11K-R01,Rusun Komarudin - Penggilingan,0,,11K-R01_shp
11K,SH,11K-R02,Penggilingan - Rusun Komarudin,1,,11K-R02_shp
11M,SH,11M-R01,Rusun Rawa Bebek - Bukit Duri,0,,11M-R01_shp
11M,SH,11M-R02,Bukit Duri - Rusun Rawa Bebek,1,,11M-R02_shp
11N,SH,11N-R03,Rusun Cipinang Muara - Jatinegara,0,,11N-R03_shp
11N,SH,11N-R04,Jatinegara - Rusun Cipinang Muara,1,,11N-R04_shp
11P,SH,11P-R01,Rusun Pondok Bambu - Walikota Jakarta Timur,0,,11P-R01_shp
11P,SH,11P-R02,Walikota Jakarta Timur - Rusun Pondok Bambu,1,,11P-R02_shp
11Q,HK,11Q-R02,Kampung Melayu - Pulo Gebang Via BKT,1,,11Q-R02_shp
11Q,HK,11Q-R05,Pulo Gebang - Kampung Melayu Via BKT,0,,11Q-R05_shp
12,SH,12-R03,Tanjung Priok - Pluit,0,,12-R03_shp
12,SH,12-R04,Pluit - Tanjung Priok,1,,12-R04_shp
12A,SH,12A-R03,Pelabuhan Kali Adem - Beos,0,,12A-R03_shp
12A,SH,12A-R04,Beos - Pelabuhan Kali Adem,1,,12A-R04_shp
12B,HK,12B-R03,Pluit - Senen,0,,12B-R03_shp
12B,HK,12B-R04,Senen - Pluit,1,,12B-R04_shp
12C,SH,12C-R03,Rusun Waduk Pluit - Penjaringan,0,,12C-R03_shp
12C,SH,12C-R04,Penjaringan - Rusun Waduk Pluit,1,,12C-R04_shp
12F,SH,12F-R01,Rusun Marunda - Rusun Waduk Pluit,0,,12F-R01_shp
12F,SH,12F-R02,Rusun Waduk Pluit - Rusun Marunda,1,,12F-R02_shp
12H,SH,12H-R01,Rusun Penjaringan - Penjaringan,0,,12H-R01_shp
12H,SH,12H-R02,Penjaringan - Rusun Penjaringan,1,,12H-R02_shp
12P,SH,12P-R01,St. LRT Pegangsaan Dua - JIS,0,,12P-R01_shp
12P,SH,12P-R02,JIS - St. LRT Pegangsaan Dua,1,,12P-R02_shp
13,SH,13-R01,CBD Ciledug - Tendean,0,,13-R01_shp
13,SH,13-R02,Tendean - CBD Ciledug,1,,13-R02_shp
13C,HK,13C-R01,Puri Beta - Dukuh Atas,0,,13C-R01_shp
13C,HK,13C-R02,Dukuh Atas - Puri Beta,1,,13C-R02_shp
13D,HL,13D-R01,Puri Beta - Ragunan,0,,13D-R01_shp
13D,HL,13D-R02,Ragunan - Puri Beta,1,,13D-R02_shp
14,SH,14-R03,JIS - Senen,0,,14-R03_shp
14,SH,14-R04,Senen - JIS,1,,14-R04_shp
1A,SH,1A-R03,Pantai Maju - Balai Kota,0,,1A-R03_shp
1A,HK,1A-R04,Balai Kota - Pantai Maju,1,,1A-R04_shp
1A,HL,1A-R05,Balai Kota - Pantai Maju (Weekend),1,,l4e3
1B,SH,1B-R01,Stasiun Palmerah - Tosari,0,,1B-R01_shp
1B,SH,1B-R02,Tosari - Stasiun Palmerah,1,,1B-R02_shp
1C,SH,1C-R01,Pesanggrahan - Blok M,0,,1C-R01_shp
1C,SH,1C-R02,Blok M - Pesanggrahan,1,,1C-R02_shp
1E,SH,1E-R01,Pondok Labu - Blok M,0,,1E-R01_shp
